CH1,CH2,CH3,CH4,Ts
2.698906250e+2,-8.493750000e-2,-1.476562500e-2,6.031250000e-2,
2.680468750e+2,-8.053125000e-2,2.992187500e-2,4.992187500e-2,
2.620000000e+2,-7.584375000e-2,-9.218750000e-3,6.007812500e-2,
2.620156250e+2,-8.421875000e-2,-1.484375000e-3,4.906250000e-2,
2.579843750e+2,-7.200000000e-2,3.000000000e-2,4.031250000e-2,
2.659687500e+2,-9.190625000e-2,-7.812500000e-5,6.937500000e-2,
2.660468750e+2,-9.671875000e-2,1.992187500e-2,2.000000000e-2,
2.640312500e+2,-7.593750000e-2,-2.039062500e-2,7.000000000e-2,
2.639531250e+2,-9.940625000e-2,-3.023437500e-2,4.960937500e-2,
2.660156250e+2,-9.278125000e-2,-9.843750000e-3,5.968750000e-2,
2.580000000e+2,-8.400000000e-2,-9.843750000e-3,1.992187500e-2,
2.640468750e+2,-8.396875000e-2,1.562500000e-4,4.000000000e-2,
2.640625000e+2,-8.403125000e-2,-1.085937500e-2,5.984375000e-2,
2.722812500e+2,-8.400000000e-2,-8.984375000e-3,3.984375000e-2,
2.717343750e+2,-8.403125000e-2,-8.593750000e-4,5.046875000e-2,
2.637656250e+2,-8.400000000e-2,-2.062500000e-2,3.906250000e-2,
2.661562500e+2,-8.812500000e-2,-8.906250000e-3,1.914062500e-2,
2.657187500e+2,-9.184375000e-2,7.812500000e-4,2.179687500e-2,
2.620000000e+2,-8.384375000e-2,-2.031250000e-3,5.101562500e-2,
2.662187500e+2,-7.962500000e-2,-1.789062500e-2,5.007812500e-2,
2.657968750e+2,-8.121875000e-2,2.062500000e-2,6.023437500e-2,
2.619218750e+2,-1.040000000e-1,-1.421875000e-2,4.906250000e-2,
2.641875000e+2,-7.887500000e-2,-1.843750000e-2,4.054687500e-2,
2.680156250e+2,-7.625000000e-2,-1.015625000e-2,4.945312500e-2,
2.679843750e+2,-8.400000000e-2,-8.828125000e-3,3.046875000e-2,
2.680000000e+2,-8.796875000e-2,-1.250000000e-3,6.023437500e-2,
2.701250000e+2,-8.396875000e-2,-3.062500000e-2,3.968750000e-2,
2.719531250e+2,-8.400000000e-2,-8.906250000e-3,5.000000000e-2,
2.616875000e+2,-8.406250000e-2,-1.070312500e-2,4.000000000e-2,
2.642812500e+2,-8.800000000e-2,-3.000000000e-2,5.000000000e-2,
2.678437500e+2,-8.400000000e-2,7.812500000e-5,4.000000000e-2,
2.619375000e+2,-8.812500000e-2,5.468750000e-4,4.984375000e-2,
2.659843750e+2,-7.984375000e-2,-9.843750000e-3,5.007812500e-2,
2.659375000e+2,-8.850000000e-2,-2.578125000e-3,4.062500000e-2,
2.620156250e+2,-7.306250000e-2,1.273437500e-2,2.921875000e-2,
2.621562500e+2,-7.934375000e-2,-1.000000000e-2,6.015625000e-2,
2.680000000e+2,-8.384375000e-2,1.015625000e-2,6.945312500e-2,
2.618281250e+2,-9.200000000e-2,-1.117187500e-2,3.953125000e-2,
2.620625000e+2,-8.396875000e-2,-1.992187500e-2,5.093750000e-2,
2.660156250e+2,-8.396875000e-2,-7.812500000e-5,5.984375000e-2,
2.620000000e+2,-8.403125000e-2,7.812500000e-5,3.976562500e-2,
2.659687500e+2,-8.400000000e-2,1.007812500e-2,5.015625000e-2,
2.620937500e+2,-8.787500000e-2,-1.046875000e-2,7.023437500e-2,
2.639218750e+2,-9.196875000e-2,8.593750000e-4,7.007812500e-2,
2.621406250e+2,-9.203125000e-2,9.453125000e-3,3.945312500e-2,
2.618281250e+2,-8.856250000e-2,-2.257812500e-2,3.992187500e-2,
2.659531250e+2,-7.603125000e-2,-3.992187500e-2,4.070312500e-2,
2.658593750e+2,-8.843750000e-2,-1.953125000e-2,5.968750000e-2,
2.720156250e+2,-8.787500000e-2,-9.921875000e-3,2.937500000e-2,
2.640937500e+2,-8.787500000e-2,9.921875000e-3,4.015625000e-2,
2.659062500e+2,-8.393750000e-2,-1.023437500e-2,2.992187500e-2,
2.660312500e+2,-8.368750000e-2,2.343750000e-4,3.992187500e-2,
2.642500000e+2,-8.012500000e-2,-9.375000000e-4,4.031250000e-2,
