CH1,CH2,CH4,Ts,parameter,value
2.860000000e+2,-8.000000000e-2,2.100000000e+1,,,
2.779843750e+2,-1.036562500e-1,2.000000000e+1,,,
2.820468750e+2,-1.000000000e-1,2.100000000e+1,,,
2.820000000e+2,-8.796875000e-2,2.102343750e+1,,,
2.819843750e+2,-9.221875000e-2,1.800000000e+1,,,
2.859843750e+2,-9.990625000e-2,2.001562500e+1,,,
2.800312500e+2,-8.393750000e-2,2.300000000e+1,,,
2.759843750e+2,-9.621875000e-2,2.102343750e+1,,,
2.840000000e+2,-1.001562500e-1,2.001562500e+1,,,
2.800000000e+2,-9.203125000e-2,1.999218750e+1,,,
2.880000000e+2,-9.203125000e-2,2.199218750e+1,,,
2.879531250e+2,-1.000312500e-1,1.893750000e+1,,,
2.839531250e+2,-9.587500000e-2,1.800000000e+1,,,
2.800000000e+2,-8.796875000e-2,1.900000000e+1,,,
2.820156250e+2,-9.190625000e-2,2.100000000e+1,,,
2.840000000e+2,-1.000000000e-1,2.000000000e+1,,,
2.860000000e+2,-9.603125000e-2,2.000000000e+1,,,
2.860000000e+2,-1.040312500e-1,2.000000000e+1,,,
2.880000000e+2,-9.993750000e-2,2.000000000e+1,,,
2.859218750e+2,-1.000312500e-1,2.000781250e+1,,,
2.939687500e+2,-1.000000000e-1,1.700000000e+1,,,
2.861250000e+2,-9.596875000e-2,2.099218750e+1,,,
2.800937500e+2,-9.590625000e-2,1.900781250e+1,,,
2.900625000e+2,-8.403125000e-2,1.900781250e+1,,,
2.859218750e+2,-1.001562500e-1,2.101562500e+1,,,
2.858906250e+2,-1.000000000e-1,2.300000000e+1,,,
2.779843750e+2,-1.081562500e-1,2.000000000e+1,,,
2.840625000e+2,-1.078750000e-1,1.998437500e+1,,,
2.839687500e+2,-9.200000000e-2,2.000000000e+1,,,
2.879218750e+2,-1.040000000e-1,2.000000000e+1,,,
2.880312500e+2,-1.000000000e-1,2.000781250e+1,,,
2.799375000e+2,-1.080000000e-1,1.999218750e+1,,,
2.939531250e+2,-9.596875000e-2,1.800000000e+1,,,
2.860625000e+2,-1.000000000e-1,2.200000000e+1,,,
2.899531250e+2,-9.215625000e-2,2.003906250e+1,,,
2.860156250e+2,-9.196875000e-2,1.801562500e+1,,,
2.920468750e+2,-1.040000000e-1,1.601562500e+1,,,
